"S"	"R2"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"
256.88	256.88	0	0	0	0	0	1	0	0	0	0	0	0
472.08	1853.02	0	0	0	0	0	1	0	0	0	0	0	0
279.12	1795.2	0	0	0	0	0	1	0	0	0	0	0	0
535.96	3676.09	0	0	0	0	0	1	0	0	0	0	0	0
573.07	3532.67	0	0	0	0	0	1	0	0	0	0	0	0
1209.74	5734.77	0	0	0	0	0	1	0	0	0	0	0	0
356.38	2844.92	0	0	0	0	0	1	0	0	0	0	0	0
362.37	843.69	0	0	0	0	0	1	0	0	0	0	0	0
443.66	8414.02	0	0	0	0	0	1	0	0	0	0	0	0
179.12	NA	0	0	0	0	0	1	0	0	0	0	0	0
140.66	231.1	0	0	0	0	0	1	0	0	0	0	0	0
79.06	79.06	0	0	0	0	0	1	0	0	0	0	0	0
94.65	94.65	0	0	0	0	0	1	0	0	0	0	0	0
117.59	199.96	0	0	0	0	0	1	0	0	0	0	0	0
164.03	380.73	0	0	0	0	0	1	0	0	0	0	0	0
307.68	1579.07	0	0	0	0	0	1	0	0	0	0	0	0
482.86	1229.98	0	0	0	0	0	1	0	0	0	0	0	0
792.56	2037.6	0	0	0	0	0	1	0	0	0	0	0	0
155.83	303.1	0	0	0	0	0	1	0	0	0	0	0	0
152.54	154.32	0	0	0	0	0	1	0	0	0	0	0	0
304.09	316.42	0	0	0	0	0	1	0	0	0	0	0	0
155.5	NA	0	0	0	0	0	0	0	0	1	0	0	0
72	194.6	0	0	0	0	0	0	0	0	1	0	0	0
90	178.2	0	0	0	0	0	0	0	0	1	0	0	0
128.7	324.8	0	0	0	0	0	0	0	0	1	0	0	0
72.6	444	0	0	0	0	0	0	0	0	1	0	0	0
7.8	19.8	0	0	0	0	0	0	0	0	1	0	0	0
60.2	60.2	0	0	0	0	0	0	0	0	1	0	0	0
89.3	194.5	0	0	0	0	0	0	0	0	1	0	0	0
157.5	438.3	0	0	0	0	0	0	0	0	1	0	0	0
74.8	189.4	0	0	0	0	0	0	0	0	1	0	0	0
13.4	31.7	0	0	0	0	0	0	0	0	1	0	0	0
109.8	110.6	0	0	0	0	0	0	0	0	1	0	0	0
180.5	341.8	0	0	0	0	0	0	0	0	1	0	0	0
181.3	592.5	0	0	0	0	0	0	0	0	1	0	0	0
88.4	133.8	0	0	0	0	0	0	0	0	1	0	0	0
608.45	NA	0	0	0	1	0	0	0	0	0	0	0	0
1565.48	2052.75	0	0	0	1	0	0	0	0	0	0	0	0
